Order,Duplicacy,Repeatation,Sort,Algo
1,0.037037037037037035,0.037037037037037035,1.0,5
1,0.0851063829787234,0.0851063829787234,1.0,1
1,0.06,0.08,1.0,1
1,0.0,0.0,0.9411764705882353,1
1,0.03571428571428571,0.03571428571428571,1.0,1
1,0.06818181818181818,0.07954545454545454,0.9772727272727273,3
1,0.0,0.0,1.0,1
1,0.12280701754385964,0.12280701754385964,0.9649122807017544,1
1,0.05194805194805195,0.06493506493506493,1.0,3
1,0.265625,0.453125,0.984375,3
1,0.05263157894736842,0.05263157894736842,1.0,1
1,0.02857142857142857,0.02857142857142857,0.9714285714285714,1
1,0.07058823529411765,0.07058823529411765,1.0,4
1,0.14130434782608695,0.20652173913043478,1.0,4
1,0.1836734693877551,0.19387755102040816,0.9897959183673469,3
1,0.024390243902439025,0.024390243902439025,0.9878048780487805,3
1,0.058823529411764705,0.058823529411764705,0.9803921568627451,1
1,0.0,0.0,0.88,1
1,0.038461538461538464,0.057692307692307696,0.9807692307692307,5
1,0.26,0.64,0.96,1
1,0.08,0.08,1.0,1
1,0.13253012048192772,0.1686746987951807,0.9759036144578314,3
1,0.0,0.0,0.7857142857142857,1
1,0.06451612903225806,0.06451612903225806,1.0,3
1,0.022727272727272728,0.022727272727272728,0.9545454545454546,1
1,0.14285714285714285,0.14285714285714285,0.8571428571428571,1
1,0.1111111111111111,0.12698412698412698,0.9682539682539683,3
1,0.034482758620689655,0.034482758620689655,0.9655172413793104,2
1,0.0,0.0,0.8181818181818182,1
1,0.09473684210526316,0.11578947368421053,1.0,3
1,0.0851063829787234,0.0851063829787234,0.9787234042553191,1
1,0.07608695652173914,0.09782608695652174,0.9782608695652174,1
1,0.030927835051546393,0.030927835051546393,1.0,4
1,0.03333333333333333,0.03333333333333333,0.9333333333333333,1
1,0.13953488372093023,0.18604651162790697,0.9767441860465116,2
1,0.1686746987951807,0.1686746987951807,0.963855421686747,3
1,0.0,0.0,1.0,1
1,0.08,0.08,1.0,2
1,0.046511627906976744,0.046511627906976744,1.0,5
1,0.10526315789473684,0.10526315789473684,1.0,1
1,0.1625,0.175,1.0,4
1,0.013513513513513514,0.013513513513513514,0.9864864864864865,3
1,0.03278688524590164,0.03278688524590164,1.0,1
1,0.08974358974358974,0.10256410256410256,0.9871794871794872,3
1,0.1,0.1,0.9333333333333333,1
1,0.08235294117647059,0.08235294117647059,0.9764705882352941,4
1,0.028169014084507043,0.028169014084507043,0.9859154929577465,5
1,0.0,0.0,0.9411764705882353,1
1,0.0,0.0,0.9,1
1,0.038461538461538464,0.038461538461538464,0.9423076923076923,5
1,0.08620689655172414,0.08620689655172414,0.9827586206896551,3
1,0.07462686567164178,0.08955223880597014,0.9850746268656716,3
1,0.0,0.0,0.9736842105263158,1
1,0.0,0.0,0.9714285714285714,2
1,0.0379746835443038,0.0379746835443038,1.0,4
1,0.022988505747126436,0.022988505747126436,1.0,4
1,0.11578947368421053,0.12631578947368421,0.968421052631579,1
1,0.06741573033707865,0.06741573033707865,1.0,3
1,0.0,0.0,1.0,1
1,0.03389830508474576,0.03389830508474576,0.9830508474576272,5
1,0.3218390804597701,0.47126436781609193,0.9540229885057471,3
1,0.0,0.0,0.8928571428571429,1
1,0.32142857142857145,0.5,0.9285714285714286,5
1,0.1111111111111111,0.1111111111111111,0.9814814814814815,1
1,0.21794871794871795,0.24358974358974358,0.9871794871794872,4
1,0.125,0.14285714285714285,0.9821428571428571,1
1,0.0,0.0,0.9,2
1,0.03896103896103896,0.03896103896103896,1.0,3
1,0.0684931506849315,0.0684931506849315,1.0,4
1,0.109375,0.125,0.96875,4
1,0.17045454545454544,0.20454545454545456,1.0,1
1,0.2,0.7818181818181819,0.8727272727272727,5
1,0.061224489795918366,0.08163265306122448,0.9897959183673469,4
1,0.0625,0.09375,1.0,1
1,0.025,0.025,0.975,1
1,0.034482758620689655,0.034482758620689655,0.9310344827586207,1
1,0.023255813953488372,0.023255813953488372,0.9767441860465116,1
1,0.061855670103092786,0.061855670103092786,0.9896907216494846,4
1,0.08860759493670886,0.10126582278481013,0.9620253164556962,4
1,0.17525773195876287,0.2268041237113402,0.9690721649484536,4
1,0.21052631578947367,0.21052631578947367,1.0,1
1,0.06493506493506493,0.06493506493506493,0.974025974025974,4
1,0.0,0.0,0.9230769230769231,1
1,0.06521739130434782,0.06521739130434782,0.9782608695652174,4
1,0.038461538461538464,0.038461538461538464,0.9807692307692307,5
1,0.0,0.0,1.0,2
1,0.0,0.0,1.0,1
1,0.06896551724137931,0.06896551724137931,0.9540229885057471,3
1,0.16326530612244897,0.16326530612244897,1.0,4
1,0.0,0.0,0.9655172413793104,1
1,0.05128205128205128,0.05128205128205128,0.9743589743589743,1
1,0.016666666666666666,0.016666666666666666,0.9833333333333333,1
1,0.019230769230769232,0.019230769230769232,0.9423076923076923,2
1,0.06382978723404255,0.06382978723404255,0.9574468085106383,1
1,0.08695652173913043,0.08695652173913043,1.0,1
1,0.0625,0.0625,0.9375,1
1,0.0425531914893617,0.0425531914893617,0.9893617021276596,3
1,0.15555555555555556,0.17777777777777778,0.9555555555555556,1
1,0.17307692307692307,0.19230769230769232,1.0,5
1,0.18181818181818182,0.18181818181818182,1.0,1
1,0.0,0.0,0.8888888888888888,1
1,0.09523809523809523,0.09523809523809523,0.9523809523809523,1
1,0.0,0.0,0.8,1
1,0.058823529411764705,0.058823529411764705,1.0,1
1,0.0759493670886076,0.0759493670886076,1.0,3
1,0.04054054054054054,0.04054054054054054,1.0,3
1,0.0,0.0,0.9795918367346939,1
1,0.1388888888888889,0.16666666666666666,0.9722222222222222,3
1,0.09090909090909091,0.12121212121212122,0.9393939393939394,1
1,0.0,0.0,0.9375,1
1,0.0,0.0,0.8,1
1,0.02127659574468085,0.02127659574468085,1.0,4
1,0.11320754716981132,0.11320754716981132,1.0,1
1,0.06382978723404255,0.06382978723404255,0.9787234042553191,1
1,0.08333333333333333,0.09523809523809523,1.0,3
1,0.0,0.0,1.0,1
1,0.031746031746031744,0.031746031746031744,1.0,4
1,0.08888888888888889,0.08888888888888889,0.9888888888888889,5
1,0.1,0.1,1.0,2
1,0.06578947368421052,0.07894736842105263,0.9736842105263158,3
